Actors,Count
0x3351f8993061bf2ce40c3aaa8fc89238ad34a49e,1.0
0x99b4e30ed460c242c160309e8ffedbd8f2de6d18,1.0
0x5079837ecd43cf0c18a45d99330a22733ac19b75,1.0
0x3b99118145cb147a541e35b12bcc98f1322c9ff0,1.0
0x140341202e9261174a1f474e3d373fc20e2aeeb4,1.0
0x6ffac6bfff72fda92d2b9120d79d7e3bd9bb9595,1.0
0x99fa53d17a3a03f6dd66f5e7b78ecd9ce656306e,1.0
0xc81c06804a1eeda19bf015d9d8d5652721116f79,1.0
0x7ffa3ce2eda32cb0a7173d3b0860f8f9468f6747,1.0
0xae8b3f43a952d895d90e94445283cb6716bd0e3b,1.0
0xd72e39a5f8c6f04ea3f2ae4871773ca739a9ee91,1.0
0xf9b4b29a3b2094059cdf3a87cc67bec559184076,1.0
0xd265f22b139ff070bfb81af24194330d9c3ac4cc,1.0
0xf1a762005bf06f112bac2c96ff43bfd1c106948b,1.0
0x3572d7ac47867c75e0f873cb3ed26c71c50ade96,1.0
0x0e721643087bbd8010e06f5aa0eadcfdc583fc7f,1.0
0x699c950a8c673f3905bf4fbbcfaa38341d7b4d20,1.0
0x9d10f0333f1ee3add0b82bb64836703d3751d3ad,1.0
0xf17d286f1150895d2c5a98246e9700a89223d413,1.0
0x48bb3a74cafb499b6ba8ecc4c08f2ed16101dd1f,1.0
0x48199efb5f3f770b998be377be3e1bac02ab4bf3,1.0
0x7f45c508873bf3b1e6c3b520297db900243d21fb,1.0
0x040a7c4edd2921a65d588cb7fb6865b362731c0d,1.0
0x3d866144899590faee664a1fb377c984b3ed8426,1.0
0xe1d17b5a6870aa0605f008ba9f08d1e407ccd70a,1.0
0xa2b9029506cae937c8be7de7a80818a158c5c207,1.0
0xde4fa95f17e6adf29cc124a03ac81660f39d3862,1.0
0xb51121bcf528f9071b32c81b0f8b56ee3588697e,1.0
0x4d394972cf6a5a8140070d4e1ec726ca864e5fff,1.0
0x410f1df172658da9e9bd4a6acb5ac546c550d85d,1.0
0x8b0112190c052a016cee327062ed78578da79818,1.0
0xa39159d0238e961349ed384fa45108d141b115f2,1.0
0xfd976189e838569dc369db7f1c78ddc5f3389104,1.0
0x2fddf85118819dc86866f74125adb9fc038a9396,1.0
0x1968f1c897649ce30c035efa8402ac955e3b95b3,1.0
0x5d19c0eb862554bf59bb80d4ebc681eeb19252c3,1.0
0xd649e34ea8facbbdff5fb53d99dcc2c51f0ad6bb,1.0
0xa627fe3eba0a3d41aa2ed3ccffa7b6ae45694371,1.0
0x673ca07302312a5358c90a0c1bc2f33164d597bb,1.0
0x697a8ee2525803b7ecef11882b21b3c8d256ba52,1.0
0xe5891be049837e833061aedbc5155c815836fba0,1.0
0x891279ead1fa9269239dcbfeeefe1733eeac2684,1.0
0x89054721c2c1da37a187dbbfa1505571ea4bfb5a,1.0
0xc0969b4a3aa662f1cdb9655f5a1188e2b5b57c5b,1.0
0xc8cebc55d8d1042e8fe2819509c6e1d0b983464c,1.0
0xcf165f881eb7c240225400593a98396a5b0832c2,1.0
0x7987d7a0b89ee3be1a59cc26606700afdc2e0823,1.0
0x2e5142129671c675ff2fc749349a4b547dab8a6e,1.0
